Month,Events,,,,,,,,,
1984-12,7,,,,,,,,,
1985-01,9,,,,,,,,,
1985-02,10,,,,,,,,,
1985-03,2,,,,,,,,,
1985-04,7,,,,,,,,,
1985-05,7,,,,,,,,,
1985-06,4,,,,,,,,,
1985-07,3,,,,,,,,,
1985-08,9,,,,,,,,,
1985-09,6,,,,,,,,,
1985-10,8,,,,,,,,,
1985-11,6,,,,,,,,,
1985-12,3,,,,,,,,,
1986-01,4,,,,,,,,,
1986-02,2,,,,,,,,,
1986-03,10,,,,,,,,,
1986-04,3,,,,,,,,,
1986-05,7,,,,,,,,,
1986-06,5,,,,,,,,,
1986-07,3,,,,,,,,,
1986-08,7,,,,,,,,,
1986-09,5,,,,,,,,,
1986-10,11,,,,,,,,,
1986-11,3,,,,,,,,,
1986-12,4,,,,,,,,,
1987-01,8,,,,,,,,,
1987-02,4,,,,,,,,,
1987-03,6,,,,,,,,,
1987-04,5,,,,,,,,,
1987-05,9,,,,,,,,,
1987-06,6,,,,,,,,,
1987-07,4,,,,,,,,,
1987-08,4,,,,,,,,,
1987-09,4,,,,,,,,,
1987-10,4,,,,,,,,,
1987-11,8,,,,,,,,,
1987-12,12,,,,,,,,,
1988-01,8,,,,,,,,,
1988-02,6,,,,,,,,,
1988-03,6,,,,,,,,,
1988-04,7,,,,,,,,,
1988-05,5,,,,,,,,,
1988-06,5,,,,,,,,,
1988-07,6,,,,,,,,,
1988-08,12,,,,,,,,,
1988-09,6,,,,,,,,,
1988-10,9,,,,,,,,,
1988-11,6,,,,,,,,,
1988-12,7,,,,,,,,,
1989-01,5,,,,,,,,,
1989-02,9,,,,,,,,,
1989-03,6,,,,,,,,,
1989-04,3,,,,,,,,,
1989-05,4,,,,,,,,,
1989-06,10,,,,,,,,,
1989-07,10,,,,,,,,,
1989-08,8,,,,,,,,,
1989-09,15,,,,,,,,,
1989-10,10,,,,,,,,,
1989-11,10,,,,,,,,,
1989-12,5,,,,,,,,,
1990-01,11,,,,,,,,,
1990-02,5,,,,,,,,,
1990-03,8,,,,,,,,,
1990-04,7,,,,,,,,,
1990-05,6,,,,,,,,,
1990-06,4,,,,,,,,,
1990-07,5,,,,,,,,,
1990-08,5,,,,,,,,,
1990-09,6,,,,,,,,,
1990-10,5,,,,,,,,,
1990-11,6,,,,,,,,,
1990-12,4,,,,,,,,,
1991-01,4,,,,,,,,,
1991-02,8,,,,,,,,,
1991-03,11,,,,,,,,,
1991-04,5,,,,,,,,,
1991-05,7,,,,,,,,,
1991-06,5,,,,,,,,,
1991-07,7,,,,,,,,,
1991-08,7,,,,,,,,,
1991-09,11,,,,,,,,,
1991-10,6,,,,,,,,,
1991-11,11,,,,,,,,,
1991-12,6,,,,,,,,,
1992-01,5,,,,,,,,,
1992-02,5,,,,,,,,,
1992-03,6,,,,,,,,,
1992-04,10,,,,,,,,,
1992-06,9,,,,,,,,,
1992-07,13,,,,,,,,,
